timestamp,gaze_x,gaze_y,confidence,cpu_percent,memory_used_mb,memory_percent
2025-11-20T18:59:21.013655Z,616,463,0.688,9.8,7610.97,97.2
2025-11-20T18:59:21.052230Z,592,506,0.688,5.6,7610.55,97.2
2025-11-20T18:59:21.081182Z,597,529,0.602,4.8,7610.55,97.2
2025-11-20T18:59:21.108689Z,589,563,0.588,5.9,7610.5,97.2
2025-11-20T18:59:21.140875Z,602,568,0.55,10.7,7614.46,97.2
2025-11-20T18:59:21.167870Z,615,539,0.529,4.8,7614.98,97.3
2025-11-20T18:59:21.195456Z,635,515,0.517,4.8,7614.98,97.3
2025-11-20T18:59:21.220861Z,636,485,0.453,4.2,7615.0,97.3
2025-11-20T18:59:21.249865Z,626,489,0.52,6.2,7614.89,97.3
2025-11-20T18:59:21.278881Z,620,493,0.453,10.0,7614.82,97.3
2025-11-20T18:59:21.303736Z,634,503,0.574,8.7,7616.59,97.3
2025-11-20T18:59:21.332748Z,648,494,0.643,16.0,7616.6,97.3
2025-11-20T18:59:21.358749Z,658,485,0.6,26.7,7616.6,97.3
2025-11-20T18:59:21.387275Z,664,481,0.652,9.1,7616.61,97.3
2025-11-20T18:59:21.420282Z,671,491,0.71,12.5,7621.07,97.3
2025-11-20T18:59:21.451448Z,675,489,0.68,13.6,7621.25,97.3
2025-11-20T18:59:21.484455Z,661,483,0.67,21.7,7619.26,97.3
2025-11-20T18:59:21.519979Z,643,462,0.737,13.8,7619.08,97.3
2025-11-20T18:59:21.549981Z,631,455,0.795,13.6,7618.93,97.3
2025-11-20T18:59:21.577977Z,630,444,0.806,20.8,7618.92,97.3
2025-11-20T18:59:21.609496Z,623,448,0.74,17.6,7618.87,97.3
2025-11-20T18:59:21.638505Z,605,451,0.742,14.3,7618.07,97.3
2025-11-20T18:59:21.668499Z,587,451,0.804,8.3,7615.51,97.3
2025-11-20T18:59:21.704018Z,587,446,0.754,13.3,7604.36,97.1
2025-11-20T18:59:21.730017Z,603,472,0.565,8.3,7611.61,97.2
2025-11-20T18:59:21.766013Z,611,500,0.576,2.9,7611.61,97.2
2025-11-20T18:59:21.798615Z,610,515,0.444,10.0,7610.95,97.2
2025-11-20T18:59:21.822025Z,592,501,0.488,11.8,7610.87,97.2
2025-11-20T18:59:21.872132Z,622,478,0.454,5.3,7610.73,97.2
2025-11-20T18:59:21.908653Z,642,466,0.407,3.1,7610.73,97.2
2025-11-20T18:59:21.941652Z,566,399,0.346,8.7,7610.73,97.2
2025-11-20T18:59:21.975669Z,668,447,0.46,16.7,7610.77,97.2
2025-11-20T18:59:22.006146Z,644,452,0.438,11.5,7610.77,97.2
2025-11-20T18:59:22.043162Z,627,437,0.435,16.0,7610.73,97.2
2025-11-20T18:59:22.070623Z,628,446,0.407,8.7,7610.66,97.2
2025-11-20T18:59:22.100969Z,623,444,0.438,20.0,7610.6,97.2
2025-11-20T18:59:22.132967Z,619,471,0.453,4.3,7610.61,97.2
2025-11-20T18:59:22.165968Z,617,477,0.422,12.0,7610.59,97.2
2025-11-20T18:59:22.191997Z,640,476,0.423,17.4,7610.59,97.2
2025-11-20T18:59:22.217003Z,660,455,0.503,15.8,7610.59,97.2
2025-11-20T18:59:22.275442Z,662,444,0.447,9.5,7610.6,97.2
2025-11-20T18:59:22.307714Z,659,451,0.538,4.2,7612.74,97.2
2025-11-20T18:59:22.340100Z,663,485,0.536,0.0,7612.64,97.2
2025-11-20T18:59:22.374202Z,671,504,0.412,7.7,7612.64,97.2
2025-11-20T18:59:22.405684Z,663,479,0.521,6.7,7612.64,97.2
2025-11-20T18:59:22.441672Z,655,421,0.526,10.3,7612.61,97.2
2025-11-20T18:59:22.470746Z,635,365,0.453,4.3,7612.54,97.2
2025-11-20T18:59:22.505287Z,640,347,0.633,12.5,7612.34,97.2
2025-11-20T18:59:22.533281Z,640,325,0.613,8.7,7612.42,97.2
2025-11-20T18:59:22.561203Z,651,324,0.545,13.3,7612.43,97.2
2025-11-20T18:59:22.585216Z,643,334,0.449,8.7,7612.43,97.2
2025-11-20T18:59:22.611845Z,644,364,0.547,8.3,7612.37,97.2
2025-11-20T18:59:22.678836Z,646,338,0.553,6.5,7612.3,97.2
2025-11-20T18:59:22.714276Z,659,285,0.733,4.2,7612.29,97.2
2025-11-20T18:59:22.740257Z,669,254,0.8,4.3,7612.29,97.2
2025-11-20T18:59:22.777294Z,676,260,0.835,7.1,7612.21,97.2
2025-11-20T18:59:22.808882Z,677,281,0.834,13.0,7616.64,97.3
