Gaze Tracking Log with System Metrics
==================================================
Session: 20251209_180354
Start Time: 2025-12-09T18:03:54.333703
==================================================

Time: 2025-12-09T18:04:10.959315Z | Gaze: (751, 312) | Conf: 1.000 | CPU: 16.2% | RAM: 11684.31MB | Mem%: 73.0%
Time: 2025-12-09T18:04:10.981917Z | Gaze: (801, 282) | Conf: 1.000 | CPU: 12.5% | RAM: 11694.83MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.001098Z | Gaze: (817, 259) | Conf: 1.000 | CPU: 0.0% | RAM: 11690.55MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.023388Z | Gaze: (821, 243) | Conf: 1.000 | CPU: 100.0% | RAM: 11695.63MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.041301Z | Gaze: (818, 224) | Conf: 1.000 | CPU: 18.8% | RAM: 11690.48MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.063796Z | Gaze: (826, 219) | Conf: 1.000 | CPU: 12.5% | RAM: 11695.55MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.099717Z | Gaze: (818, 213) | Conf: 1.000 | CPU: 17.6% | RAM: 11691.83MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.127848Z | Gaze: (804, 219) | Conf: 1.000 | CPU: 6.2% | RAM: 11693.86MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.159857Z | Gaze: (791, 216) | Conf: 1.000 | CPU: 50.0% | RAM: 11691.04MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.192701Z | Gaze: (791, 215) | Conf: 1.000 | CPU: 50.0% | RAM: 11694.52MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.215712Z | Gaze: (798, 217) | Conf: 1.000 | CPU: 12.5% | RAM: 11691.11MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.233528Z | Gaze: (801, 227) | Conf: 1.000 | CPU: 100.0% | RAM: 11694.99MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.261703Z | Gaze: (800, 229) | Conf: 1.000 | CPU: 12.5% | RAM: 11693.66MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.291560Z | Gaze: (814, 226) | Conf: 1.000 | CPU: 43.8% | RAM: 11693.57MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.337183Z | Gaze: (819, 222) | Conf: 1.000 | CPU: 31.2% | RAM: 11692.85MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.367856Z | Gaze: (822, 221) | Conf: 1.000 | CPU: 6.2% | RAM: 11694.54MB | Mem%: 73.1%
Time: 2025-12-09T18:04:11.399861Z | Gaze: (816, 213) | Conf: 1.000 | CPU: 11.1% | RAM: 11692.32MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.437146Z | Gaze: (822, 208) | Conf: 1.000 | CPU: 9.1% | RAM: 11692.46MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.496677Z | Gaze: (832, 205) | Conf: 1.000 | CPU: 3.2% | RAM: 11688.28MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.529002Z | Gaze: (823, 214) | Conf: 1.000 | CPU: 17.6% | RAM: 11686.61MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.561624Z | Gaze: (791, 215) | Conf: 1.000 | CPU: 41.2% | RAM: 11683.29MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.596547Z | Gaze: (750, 213) | Conf: 1.000 | CPU: 6.2% | RAM: 11686.39MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.621952Z | Gaze: (718, 205) | Conf: 1.000 | CPU: 12.5% | RAM: 11687.2MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.652925Z | Gaze: (698, 207) | Conf: 1.000 | CPU: 6.2% | RAM: 11686.1MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.684857Z | Gaze: (688, 212) | Conf: 1.000 | CPU: 6.2% | RAM: 11687.43MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.705059Z | Gaze: (675, 215) | Conf: 1.000 | CPU: 0.0% | RAM: 11685.34MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.738708Z | Gaze: (663, 220) | Conf: 1.000 | CPU: 6.2% | RAM: 11686.78MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.773699Z | Gaze: (649, 222) | Conf: 1.000 | CPU: 18.8% | RAM: 11685.47MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.798710Z | Gaze: (640, 224) | Conf: 1.000 | CPU: 37.5% | RAM: 11682.84MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.864974Z | Gaze: (636, 227) | Conf: 1.000 | CPU: 21.9% | RAM: 11682.63MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.897546Z | Gaze: (639, 226) | Conf: 1.000 | CPU: 6.2% | RAM: 11681.3MB | Mem%: 73.0%
Time: 2025-12-09T18:04:11.932375Z | Gaze: (650, 227) | Conf: 1.000 | CPU: 23.5% | RAM: 11679.91MB | Mem%: 73.0%
